CLIENT_ID,ACCOUNT_ID,ENTDATE,INV_AMT,INV_ID,invoice_expensive_cheap,negative_service,zero_service,apriori_rare_service,service_low_cluster,service_outliers_kmeans,low_cluster,outliers_kmeans,status,status_review,comment_col,Unusual_service_combination,Invoice_amount_variation,Unusual_amount,Services_with_Negative_Amount,Zero_Service,sum_errors,percentage_error
42006863,34316835,2019-08-01,20436,2789872,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
42050675,34360647,2019-08-01,10401,2755553,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,,1,1,1,1,1,4.0,50.0
41085068,33394999,2019-08-01,50097,2760017,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40779051,33088982,2019-08-01,19986,2757876,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40797935,33107866,2019-08-01,27900,2739102,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41848819,34158791,2019-08-01,24957,2747877,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41945905,34255877,2019-08-01,25395,2747963,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40622863,32932794,2019-08-01,38970,2770759,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40848913,33158844,2019-08-01,60765,2762143,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41929727,34239699,2019-08-01,7655,2747957,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41861023,34170995,2019-08-01,9986,2752809,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41969868,34279840,2019-08-01,9323,2747946,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40784080,33094011,2019-08-01,18390,2772095,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41912482,34222454,2019-08-01,36254,2824516,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41860929,34170901,2019-08-01,17972,2751335,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41827783,34137755,2019-08-01,36174,2811846,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40841894,33151825,2019-08-01,9981,2789721,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41877623,34187595,2019-08-01,19978,2757649,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41884804,34194776,2019-08-01,22027,2829824,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41874320,34184292,2019-08-01,25395,2757635,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41842934,34152906,2019-08-01,14578,2752913,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
42038776,34348748,2019-08-01,21039,2781935,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41826098,34136070,2019-08-01,9990,2747284,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41849781,34159753,2019-08-01,9983,2752937,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41841391,34151363,2019-08-01,61964,2837308,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41823477,34133449,2019-08-01,39597,2840520,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41765642,34075614,2019-08-01,19976,2745728,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41976692,34286664,2019-08-01,55970,2822434,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41811874,34121846,2019-08-01,26961,2750263,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40844925,33154856,2019-08-01,38107,2759802,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41815344,34125316,2019-08-01,16971,2749263,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40640806,32950737,2019-08-01,571,2739300,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40736995,33046926,2019-08-01,9986,2740961,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
42047569,34357541,2019-08-01,36097,2852713,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40793036,33102967,2019-08-01,54440,2759252,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41796152,34106124,2019-08-01,35966,2744367,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40783805,33093736,2019-08-01,34640,2668577,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41963913,34273885,2019-08-01,24993,2832613,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41843987,34153959,2019-08-01,16107,2850447,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40750055,33059986,2019-08-01,43968,2741301,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41852951,34162923,2019-08-01,20404,2741720,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,,1,1,1,1,1,4.0,50.0
41893060,34203032,2019-08-01,25619,2794741,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41695324,34005306,2019-08-01,12113,2742418,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41871511,34181483,2019-08-01,16975,2746708,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40760934,33070865,2019-08-01,56368,2763026,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41836065,34146037,2019-08-01,20803,2757422,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,,1,1,1,1,1,4.0,50.0
41959547,34269519,2019-08-01,18288,2757687,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41888910,34198882,2019-08-01,10484,2809922,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0,,1,1,1,1,1,4.0,50.0
41830383,34140355,2019-08-01,36811,2807012,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
