CLIENT_ID,ACCOUNT_ID,ENTDATE,INV_AMT,INV_ID,invoice_expensive_cheap,negative_service,zero_service,apriori_rare_service,service_low_cluster,service_outliers_kmeans,low_cluster,outliers_kmeans,status,status_review,comment_col,Unusual_service_combination,Invoice_amount_variation,Unusual_amount,Services_with_Negative_Amount,Zero_Service,sum_errors,percentage_error
43435100,35745102,2019-09-01,0,8785740,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
43606390,35916392,2019-09-01,0,8727318,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41942754,34252726,2019-09-01,0,8785245,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41883672,34193644,2019-09-01,994,8790173,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41944708,34254680,2019-09-01,17241,8684026,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41987583,34297555,2019-09-01,26,8790120,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41976923,34286895,2019-09-01,13483,8703457,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
42001895,34311867,2019-09-01,23986,8722713,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41894964,34204936,2019-09-01,0,8719795,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41797838,34107810,2019-09-01,14986,8706183,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
40749043,33058974,2019-09-01,0,8700828,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41776827,34086799,2019-09-01,7577,8686302,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41835791,34145763,2019-09-01,29976,8690065,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41962753,34272725,2019-09-01,12112,8701268,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41809012,34118984,2019-09-01,23807,8709651,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41827961,34137933,2019-09-01,43795,8692870,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41844901,34154873,2019-09-01,16247,8688058,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41829499,34139471,2019-09-01,14984,8789952,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41786203,34096175,2019-09-01,0,8694492,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41992766,34302738,2019-09-01,44726,8686778,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41888766,34198738,2019-09-01,15673,8684480,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41855502,34165474,2019-09-01,34969,8685408,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41836673,34146645,2019-09-01,35806,8721956,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
42024799,34334771,2019-09-01,0,8711451,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41972744,34282716,2019-09-01,992,8790227,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41905709,34215681,2019-09-01,14982,8699621,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41868129,34178101,2019-09-01,48557,8702934,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41846413,34156385,2019-09-01,0,8684762,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41817318,34127290,2019-09-01,996,8789993,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
40811827,33121758,2019-09-01,0,8691135,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
40786851,33096782,2019-09-01,0,8689469,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41979693,34289665,2019-09-01,27556,8689372,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,5.0,62.5
41956629,34266601,2019-09-01,0,8709773,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41868470,34178442,2019-09-01,14990,8723179,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41877124,34187096,2019-09-01,14979,8689977,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41956818,34266790,2019-09-01,14982,8692961,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43062076,35372068,2019-09-01,22980,9127273,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41904809,34214781,2019-09-01,14988,8725720,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41832909,34142881,2019-09-01,42400,8813385,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41956730,34266702,2019-09-01,14987,8690997,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41798619,34108591,2019-09-01,29974,8698502,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43527045,35837047,2019-09-01,14990,8765551,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41848610,34158582,2019-09-01,14989,8721089,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43476487,35786489,2019-09-01,18480,8774387,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41772342,34082314,2019-09-01,91340,8682000,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43572987,35882989,2019-09-01,14990,8757225,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41812004,34121976,2019-09-01,54202,8682274,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43314114,35624126,2019-09-01,14990,8762567,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
42016512,34326484,2019-09-01,998,8790266,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43572985,35882987,2019-09-01,14990,8778095,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43181214,35491216,2019-09-01,37051,9130725,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43314182,35624194,2019-09-01,13491,9128848,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43313927,35623939,2019-09-01,14990,8780463,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41804500,34114472,2019-09-01,26678,8683902,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41868452,34178424,2019-09-01,8990,8789973,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43062448,35372440,2019-09-01,13491,9130703,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43181167,35491169,2019-09-01,19115,8737744,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41847970,34157942,2019-09-01,23980,8686222,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41908603,34218575,2019-09-01,0,8451649,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41819817,34129789,2019-09-01,24968,8683455,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43391351,35701363,2019-09-01,14990,8774018,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43426552,35736554,2019-09-01,14990,8779462,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43024353,35334345,2019-09-01,14990,8783079,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
42031834,34341806,2019-09-01,14989,8690351,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41904608,34214580,2019-09-01,24980,8682415,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41916456,34226428,2019-09-01,14980,8688010,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41932889,34242861,2019-09-01,14986,8685569,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41849623,34159595,2019-09-01,14980,8694074,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41848157,34158129,2019-09-01,2996,8790080,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43542744,35852746,2019-09-01,14990,8754917,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41811846,34121818,2019-09-01,14989,8687612,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41904573,34214545,2019-09-01,14982,8708269,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43315079,35625091,2019-09-01,14990,8787151,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
40849827,33159758,2019-09-01,30970,9126677,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41847929,34157901,2019-09-01,14982,8710139,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43542925,35852927,2019-09-01,14990,8744774,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43389388,35699400,2019-09-01,14990,9131392,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41958837,34268809,2019-09-01,14984,8698902,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41904528,34214500,2019-09-01,14986,8739774,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41761647,34071619,2019-09-01,14982,8710389,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43293823,35603835,2019-09-01,14990,8727406,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43572914,35882916,2019-09-01,14990,9128005,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41877535,34187507,2019-09-01,18285,8714191,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41958778,34268750,2019-09-01,14988,8697810,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
43618772,35928774,2019-09-01,14990,8781315,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
41958784,34268756,2019-09-01,29970,8687310,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,,1,1,1,1,1,4.0,50.0
